geoTime,latitude,longitude,altitude,course,horizontalAccuracy,verticalAccuracy,speed,status,activity,network,appStatus,dayTime
1713515453000,22.190897157411705,113.54446780612787,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713515323000,22.191186390542015,113.54350363338071,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713515160000,22.190541290567815,113.54282059889597,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713515015000,22.19042873026045,113.54184946904073,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713514836000,22.190810422652362,113.54071887811278,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713514581000,22.189931442559082,113.54004286288874,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713514480000,22.18920770587865,113.5396470176076,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713514379000,22.18838664684837,113.5390019316544,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713513938000,22.187542196502385,113.53851636531695,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713513872000,22.18675591034947,113.5379620211898,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713513773000,22.185987574323782,113.53742762449602,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713513669000,22.18516430765417,113.53687728134925,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713513545000,22.18413139080387,113.5366060604376,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713513406000,22.18323445644531,113.53632388439016,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713513316000,22.182190218103955,113.53655808544728,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713513281000,22.18180421420342,113.53547645204758,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713513219000,22.181587698574166,113.53645835819242,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512920000,22.180759318550816,113.53558005877275,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512791000,22.180726004405162,113.5345762272963,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512577000,22.159179362968043,113.54549980068911,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512571000,22.15827542858315,113.54561740611089,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512565000,22.1573526088327,113.5456901390285,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512558000,22.156347604319368,113.54585460494778,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512549000,22.155370600092596,113.54601508488774,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512469000,22.154571753163946,113.54650564029839,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512458000,22.153690360088362,113.54681869871985,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512446000,22.153093818342434,113.54758151707658,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512438000,22.153705781159683,113.54836537367481,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713512428000,22.153978413633805,113.54936264424587,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1712483986000,22.249932129477767,113.53605900573665,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712476409000,22.24946509784673,113.53499233480395,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712476369000,22.25011196363558,113.5342228170362,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712476263000,22.24927545476165,113.53487967898081,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712476155000,22.250102124435237,113.53416400350979,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712476113000,22.250671810875755,113.53496549745913,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712476005000,22.251362822907375,113.53563642537141,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475939000,22.25226380249682,113.53554377507102,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475721000,22.252961815169193,113.53621770357978,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
